window_hours,timestamps,h1_nontrivial_rate,avg_h0_total_persistence,avg_h1_total_persistence,avg_h1_image_mass,fold
24,8991,0.8655321988655322,2.5043672936103554,0.01777832679433524,0.016768754237835852,1
72,8943,1.0,7.342355249179492,0.10432227974472001,0.09675586094000917,1
168,8847,1.0,16.89283518360252,0.34226942886904216,0.3051909435192205,1
24,9327,0.8478610485686716,2.4204746456692443,0.01807728037397885,0.016795340472956954,2
72,9279,1.0,7.125593836506553,0.10598991152012717,0.09849524384758483,2
168,9183,1.0,16.46703599041574,0.3355599526986504,0.3111601497653028,2
24,9663,0.8445617303114975,2.302789244186653,0.017943443461476177,0.016659356039160494,3
72,9615,1.0,6.7750565721496,0.10201066886135379,0.09569761761074554,3
168,9519,1.0,15.657645366734101,0.31627741309108054,0.29723514681884516,3
24,9999,0.8615861586158616,2.2218382433887833,0.018106959141542738,0.01685944948177895,4
72,9951,1.0,6.546965944650401,0.10233571340900194,0.09679799002083907,4
168,9855,1.0,15.131050208720387,0.31284863704835353,0.29529565794781826,4
24,10335,0.8579583938074504,2.178144945521642,0.017892436377648275,0.016727139129633344,5
72,10287,1.0,6.407766877777248,0.09955855498207718,0.09413614158086855,5
168,10191,1.0,14.785217715458986,0.3059283733137534,0.2883990832867022,5
24,10671,0.8635554306063162,2.1575257970179824,0.018776656763268375,0.01764846195788818,6
72,10623,0.9990586463334274,6.35614462390183,0.10265655967520988,0.09699544328222197,6
168,10527,1.0,14.671952954227324,0.3131588251379325,0.29524493787072825,6
24,11007,0.8649041519033343,2.1480939804278107,0.019437454027175616,0.0183524240739088,7
72,10959,0.9990875079843051,6.33913865880031,0.10457983644313254,0.09922554704287218,7
168,10863,1.0,14.652505157919126,0.318333054515663,0.3012479968934162,7
24,11343,0.8576214405360134,2.145164966146669,0.019215348596340366,0.018278383616546455,8
72,11295,1.0,6.302025879662024,0.10431597272235935,0.09959517551066363,8
168,11199,1.0,14.504508815047041,0.31624338680441516,0.2999218075879398,8
24,11679,0.8528983645860091,2.207739292534951,0.01913820306646662,0.018189872216708,9
72,11631,1.0,6.4733615007299825,0.10391238123101933,0.09921289231121329,9
168,11535,1.0,14.871704088245059,0.3118652311174298,0.2962875206939033,9
24,12015,0.8659176029962546,2.1493034240998887,0.01874670854022031,0.01780647986831952,10
72,11967,0.9991643686805382,6.321927779244638,0.10289273107808986,0.09813672291067298,10
168,11871,1.0,14.587990444873883,0.3102481473467459,0.2948884103905682,10
24,12351,0.8688365314549429,2.118278101373729,0.01893054093154689,0.017588897928787536,11
72,12303,0.9984556612208404,6.231475700214078,0.10385919374883953,0.0969362073072613,11
168,12207,1.0,14.312245588149725,0.30899282560915037,0.29177889574974947,11
24,12687,0.8651375423662017,2.0809554590303905,0.018481751737146137,0.017270002722137297,12
72,12639,0.9993670385315294,6.123745495589259,0.10149152657156821,0.09524315259671132,12
168,12543,1.0,14.137698123361526,0.3045054133067073,0.28543677258819883,12
24,13023,0.8633187437610381,2.071044625460983,0.018296258094620637,0.017084676953413012,13
72,12975,0.999383429672447,6.084057823899269,0.10033341829365332,0.09407690122096417,13
168,12879,1.0,14.03272212737319,0.30123497078177713,0.2819957366014052,13
24,13359,0.8669810614566958,2.0401465136095833,0.017852999903427584,0.016673305928050636,14
72,13311,1.0,5.989339525651429,0.09862871774432486,0.09237360951050472,14
168,13215,1.0,13.833979538354138,0.29650367330495486,0.2772906273358188,14
24,13695,0.8654253377144944,2.0037477039566842,0.017526206412607978,0.016304862450586235,15
72,13647,1.0,5.8780818678172135,0.0970274500133474,0.09048120410307935,15
168,13551,1.0,13.569343338862344,0.29198812348999725,0.27220295474550943,15
24,14031,0.861520917967358,2.0112418271458408,0.01759125568828845,0.01637156167016826,16
72,13983,1.0,5.895734341598406,0.09714945222016405,0.09065940092276849,16
168,13887,1.0,13.581721401055974,0.29188458822934715,0.27268286972976175,16
24,14367,0.8651075381081645,2.0036391544786167,0.01765218905681201,0.016427933575874753,17
72,14319,1.0,5.878950418965585,0.09735642468370549,0.09100860302006171,17
168,14223,1.0,13.560192665101145,0.29228198845666625,0.2730177115711322,17
